k [N/m],c [N·s/m],RMS [m/s^2],T_max,Cumple_RMS,Cumple_T
12000,1200,0.034522436751399446,1.8077397373209465,True,False
12000,1400,0.031944282692614887,1.6431706192060191,True,False
12000,1600,0.029865032991447778,1.5228140477624235,True,False
12000,1800,0.028141887637038173,1.4321963721673994,True,False
12000,2000,0.026682928224493342,1.3626024280931288,True,False
12000,2200,0.025426670105001135,1.308118635442216,True,False
12000,2400,0.02433057458990042,1.2648174665260918,True,False
12000,2600,0.023361839526638704,1.230361485051288,True,False
12000,2800,0.022499636419942064,1.2020230924656874,True,False
12000,3000,0.02172633272305843,1.1781960105361504,True,True
12000,3200,0.021025675473592822,1.1582684042549967,True,True
12000,3400,0.020387063209321796,1.1414025061828328,True,True
12000,3600,0.019801988449121847,1.127040220744069,True,True
12000,3800,0.01926338562439159,1.1149305339033828,True,True
12000,4000,0.01876540493872439,1.1043442070992904,True,True
12000,4200,0.018303173900828296,1.0951464769944086,True,True
12000,4400,0.017872590299628684,1.086993428665706,True,True
12000,4600,0.017470182786592344,1.0799751823273596,True,True
12000,4800,0.01709299905369758,1.0736854931745805,True,True
12000,5000,0.0167384869740367,1.0681619363076778,True,True
13000,1000,0.04099087332403101,2.056307065055988,True,False
13000,1200,0.0373989931606369,1.83995854517442,True,False
13000,1400,0.03460612460473732,1.6803695249919715,True,False
13000,1600,0.03235365443960382,1.5601663084592203,True,False
13000,1800,0.030486951013887313,1.4678010122145164,True,False
13000,2000,0.02890657954335763,1.395566952167569,True,False
13000,2200,0.027545932302729767,1.3382404933657681,True,False
13000,2400,0.02635798128027373,1.2921534274607371,True,False
13000,2600,0.025309557189230995,1.255052436617647,True,False
13000,2800,0.024374091122300663,1.224225715745424,True,False
13000,3000,0.02353568987603259,1.1985735163764624,True,True
13000,3200,0.022777332456158587,1.1767947501301281,True,True
13000,3400,0.022085719363800764,1.1583448941446555,True,True
13000,3600,0.02145198029282284,1.1427909553985842,True,True
13000,3800,0.02086854177951481,1.1292137027736644,True,True
13000,4000,0.02032908796276176,1.117313629422856,True,True
13000,4200,0.01982835674284522,1.1071752472552436,True,True
13000,4400,0.019361898564041653,1.0981742789227211,True,True
13000,4600,0.018925965683845976,1.0902354569111896,True,True
13000,4800,0.018517350155822482,1.0832389277464944,True,True
13000,5000,0.018133305403341852,1.077021909240842,True,True
14000,1000,0.04414465270175409,2.0407495074817166,True,False
14000,1200,0.0402757025141857,1.8487013749559176,True,False
14000,1400,0.037267963982051455,1.7004475608922514,True,False
14000,1600,0.03484224662278505,1.5850716040379527,True,False
14000,1800,0.0328318202522679,1.4942442198170618,True,False
14000,2000,0.031130168498763267,1.421710792563009,True,False
14000,2200,0.029664936548104266,1.3631214538843062,True,False
14000,2400,0.028385776737930232,1.3155005229400902,True,False
14000,2600,0.027256993707111245,1.276420168714212,True,False
14000,2800,0.026249596084631732,1.2440160695021314,True,False
14000,3000,0.025344851411121163,1.217051598175377,True,False
14000,3200,0.0245286552339405,1.1938013354223698,True,True
14000,3400,0.023784247093452504,1.1741616957124432,True,True
14000,3600,0.023101905177168234,1.1571942094641237,True,True
14000,3800,0.02247365483548412,1.1424860682701856,True,True
14000,4000,0.02189274513988351,1.1296608626766187,True,True
14000,4200,0.021353509407167827,1.1185511023653785,True,True
14000,4400,0.02085119205228467,1.1088195476559846,True,True
14000,4600,0.020381736911502284,1.1001250643463483,True,True
14000,4800,0.01994169615675259,1.0924027323575545,True,True
14000,5000,0.01952810863901344,1.0855573590262402,True,True
15000,1000,0.04729750311741242,2.004280200583634,True,False
